City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Catuday,PH,81.88,overcast clouds,16.2923,119.8062,GResort
461,Dingle,PH,83.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
464,Aquin,HT,76.98,clear sky,18.2833,-73.4,Asheev Beach
465,Matadi,CD,75.51,broken clouds,-5.8167,13.45,Hotel Fortune
467,Itoman,JP,77.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
468,Bandarbeyla,SO,77.72,few clouds,9.4942,50.8122,JABIR HOTEL
476,Port Hedland,AU,87.8,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
477,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
478,Guider,CM,81.25,few clouds,9.9342,13.9486,Hotel Falaise
481,Bubaque,GW,76.37,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
484,Makakilo City,US,84.2,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
486,Omboue,GA,78.44,broken clouds,-1.5746,9.2618,Hotel Olako
488,Yulara,AU,78.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
494,Jiwani,PK,77.34,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
496,Manzanillo,CU,78.51,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
498,Waingapu,ID,83.61,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
501,Beberibe,BR,77.0,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
506,Mahajanga,MG,77.0,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
509,Sao Joao Da Barra,BR,77.07,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
513,Brownwood,US,75.2,scattered clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
514,Mattru,SL,76.93,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
515,Manokwari,ID,77.29,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
516,Pathri,IN,78.31,clear sky,19.25,76.45,Adam's Villa
525,Biak,ID,81.32,heavy intensity rain,-0.9131,122.8766,Penginapan Kim
531,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
536,Yamethin,MM,82.69,broken clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
538,Sabalgarh,IN,75.43,clear sky,26.25,77.4,Kailadevi studio
540,San Rafael Del Sur,NI,86.0,few clouds,11.8485,-86.4384,Hospedaje El Chino
542,Nelson Bay,AU,75.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
546,Conceicao Da Barra,BR,76.37,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
552,Yenagoa,NG,77.43,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
553,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
554,Conakry,GN,80.6,haze,9.538,-13.6773,Riviera Royal Hotel
555,Moranbah,AU,85.82,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
556,Basco,PH,80.13,clear sky,20.4487,121.9702,Nathaniel's Lodge
557,Calabozo,VE,83.12,overcast clouds,8.9242,-67.4293,Hotel Giardini
558,Saint-Paul,RE,75.2,clear sky,-21.0096,55.2707,Boucan Canot
560,Grand Baie,MU,77.0,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
573,Qui Nhon,VN,78.3,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
574,Perth,AU,77.0,clear sky,-31.9333,115.8333,Beatty Lodge
580,Trincomalee,LK,79.11,broken clouds,8.5711,81.2335,Welcombe Hotel
581,Alice Springs,AU,78.8,few clouds,-23.7,133.8833,Desert Palms Alice Springs
585,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
586,Pitimbu,BR,78.8,light rain,-7.4706,-34.8086,Reserva do Abiaí
588,Muisne,EC,76.21,broken clouds,0.6,-80.0333,Quinta Samay
590,Kailua,US,82.4,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
591,Mareeba,AU,82.99,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
594,Indapur,IN,79.18,clear sky,18.3,73.25,Hotel Open Umbrella
601,Tautira,PF,89.6,light rain,-17.7333,-149.15,Pension Oaoa
603,San Antonio,US,87.8,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
605,High Rock,BS,77.0,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
608,Dong Xoai,VN,82.76,broken clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
609,Sinnamary,GF,76.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
612,Kampot,KH,84.2,scattered clouds,10.6167,104.1833,Two Moons Hotel
614,Tekkali,IN,77.27,clear sky,18.6167,84.2333,Trinath Gantayat
621,Gondanglegi,ID,80.83,few clouds,-7.7479,112.0132,Gg. Munasir Homestay
623,Pedana,IN,78.8,mist,16.2667,81.1667,Markaz Darulbir Hostel.
626,Taree,AU,75.2,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
627,Cockburn Town,TC,77.32,clear sky,21.4612,-71.1419,Osprey Beach Hotel
630,Tecoanapa,MX,78.84,clear sky,16.5167,-98.75,Hotel Manglares
631,Hambantota,LK,75.2,broken clouds,6.1241,81.1185,Bungalow 63
633,Oranjestad,AW,80.6,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
636,Ciudad Bolivar,VE,78.66,scattered clouds,8.1222,-63.5497,Hotel Edi
639,Idah,NG,80.22,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
642,Andros Town,BS,77.0,scattered clouds,24.7,-77.7667,Hanks place
647,Axim,GH,78.13,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
650,Camacari,BR,80.6,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
658,Teknaf,BD,78.03,overcast clouds,20.8624,92.3058,Forestry Guesthouse
661,Pemangkat,ID,77.94,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
666,Sulangan,PH,81.73,scattered clouds,11.1373,123.7228,Maia's Beach Resort
680,Ende,ID,84.42,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
687,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
688,Kaliganj,BD,78.19,clear sky,23.4095,89.1402,Sohag sohan hostel
690,Balogo,PH,82.72,overcast clouds,10.8868,124.7105,LGS Scandinavia Resort
