City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,General Roca,AR,2021-03-27 18:22:32,-39.0333,-67.5833,75.2,16,0,8.05
68,Slobodskoy,RU,2021-03-27 18:22:32,58.7322,50.1772,24.98,91,87,5.41
69,Morros,BR,2021-03-27 18:22:32,-9.4467,-46.3003,85.24,52,100,3.02
70,Cape Town,ZA,2021-03-27 18:18:12,-33.9258,18.4232,64.99,67,0,14.97
71,Ban Nahin,LA,2021-03-27 18:22:32,18.2418,104.2122,81.41,55,71,2.15
72,Kapaa,US,2021-03-27 18:22:32,22.0752,-159.319,73.4,83,40,13.8
73,Luderitz,NA,2021-03-27 18:22:33,-26.6481,15.1594,66.96,71,0,19.91
74,Makakilo City,US,2021-03-27 18:18:45,21.3469,-158.0858,77.0,69,1,4.61
75,Victoria,HK,2021-03-27 18:18:50,22.2855,114.1577,73.99,88,13,2.68
76,Sabha,LY,2021-03-27 18:22:33,27.0377,14.4283,63.66,18,0,10.54
77,Rabo De Peixe,PT,2021-03-27 18:22:33,37.8,-25.5833,60.8,59,20,11.5
78,Sola,VU,2021-03-27 18:22:18,-13.8833,167.55,82.67,75,99,15.93
79,Sao Filipe,CV,2021-03-27 18:22:34,14.8961,-24.4956,71.44,70,2,20.76
80,Spirovo,RU,2021-03-27 18:22:34,57.419,34.9766,33.64,84,100,1.81
81,Scarborough,GB,2021-03-27 18:22:34,54.2797,-0.4044,46.99,65,97,4.0
82,Hailey,US,2021-03-27 18:22:35,43.5196,-114.3153,44.6,36,1,3.04
83,Oktyabrskoye,RU,2021-03-27 18:22:35,43.0645,44.7417,44.01,61,95,6.71
84,Portland,US,2021-03-27 18:20:16,45.5234,-122.6762,53.01,58,75,3.44
85,Birao,CF,2021-03-27 18:17:57,10.2849,22.7882,85.96,11,54,6.91
86,Great Yarmouth,GB,2021-03-27 18:22:35,52.6083,1.7305,48.2,57,95,11.5
87,Lasa,IT,2021-03-27 18:22:36,46.6166,10.7002,60.8,65,0,4.61
88,Yumen,CN,2021-03-27 18:22:36,40.2833,97.2,47.26,42,100,6.58
89,Tombouctou,ML,2021-03-27 18:22:36,20.0,-3.0,86.92,5,0,10.33
90,Barrow,US,2021-03-27 18:22:37,71.2906,-156.7887,-16.6,91,1,3.44
91,Nara,JP,2021-03-27 18:21:20,34.6851,135.8049,60.01,76,100,4.47
92,Provideniya,RU,2021-03-27 18:22:37,64.3833,-173.3,-4.49,100,100,4.34
93,Longyearbyen,SJ,2021-03-27 18:22:37,78.2186,15.6401,24.8,80,75,32.21
94,New Norfolk,AU,2021-03-27 18:22:38,-42.7826,147.0587,52.0,81,62,3.98
95,Vanavara,RU,2021-03-27 18:22:38,60.34,102.2797,17.1,96,91,6.08
96,Souillac,MU,2021-03-27 18:22:38,-20.5167,57.5167,75.2,94,75,6.91
97,Khatanga,RU,2021-03-27 18:22:38,71.9667,102.5,3.02,94,100,7.38
98,Fukue,JP,2021-03-27 18:22:39,32.6881,128.8419,65.03,95,100,22.03
99,Prescott,US,2021-03-27 18:22:39,34.54,-112.4685,52.0,61,1,3.44
100,Samarai,PG,2021-03-27 18:22:39,-10.6167,150.6667,83.08,78,99,14.27
101,Warrington,GB,2021-03-27 18:20:10,53.3925,-2.5802,51.8,66,75,12.66
102,Salalah,OM,2021-03-27 18:17:53,17.0151,54.0924,80.6,74,0,4.61
103,Klaksvik,FO,2021-03-27 18:22:40,62.2266,-6.589,39.2,87,75,24.16
104,Hofn,IS,2021-03-27 18:22:40,64.2539,-15.2082,25.34,93,100,23.53
105,Grindavik,IS,2021-03-27 18:22:40,63.8424,-22.4338,30.2,80,90,42.57
106,Broken Hill,AU,2021-03-27 18:18:40,-31.95,141.4333,57.2,62,50,6.91
